1519899546.300148 client started (10668): version 2.6, socket /tmp/tmux-1077643/default, protocol 8
1519899546.300148 on CYGWIN_NT-6.1-WOW 2.9.0(0.318/5/3) 2017-09-12 10:41; libevent 2.0.22-stable (poll)
1519899546.300148 socket is /tmp/tmux-1077643/default
1519899546.300148 trying connect
1519899546.304651 add peer 0x8005b1a0: 6 (0x0)
1519899546.304651 sending message 100 to peer 0x8005b1a0 (4 bytes)
1519899546.304651 sending message 101 to peer 0x8005b1a0 (16 bytes)
1519899546.304651 sending message 102 to peer 0x8005b1a0 (10 bytes)
1519899546.304651 sending message 108 to peer 0x8005b1a0 (17 bytes)
1519899546.304651 sending message 104 to peer 0x8005b1a0 (0 bytes)
1519899546.304651 sending message 107 to peer 0x8005b1a0 (4 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (80 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (15 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (14 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (95 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (31 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (55 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (18 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (107 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (29 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (49 bytes)
1519899546.304651 sending message 105 to peer 0x8005b1a0 (43 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (60 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (20 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (17 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (17 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (16 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (23 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (27 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (60 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (13 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (19 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (58 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (28 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (13 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (22 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (27 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (9 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (78 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (40 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (20 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (30 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (9 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (15 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (25 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (62 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (22 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (30 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (72 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (70 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (21 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (11 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (9 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (21 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (70 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (25 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (38 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (31 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (24 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (17 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (28 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (42 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (23 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (30 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (24 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (38 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (36 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (37 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (21 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (15 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (18 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (51 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (19 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (13 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (27 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (8 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (41 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (24 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (36 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (31 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (10 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (21 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (31 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (12 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (39 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (76 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (41 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (1450 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (13 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (51 bytes)
1519899546.305152 sending message 105 to peer 0x8005b1a0 (11 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (1357 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (60 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (58 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (16 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (19 bytes)
1519899546.305652 sending message 105 to peer 0x8005b1a0 (10 bytes)
1519899546.305652 sending message 106 to peer 0x8005b1a0 (0 bytes)
1519899546.305652 sending message 200 to peer 0x8005b1a0 (4 bytes)
1519899546.305652 client loop enter
1519899546.308154 peer 0x8005b1a0 message 211
1519899546.308154 peer 0x8005b1a0 message 203
1519899546.308154 client loop exit
